artist_name,info
Anna Perry,yolasite.com
Douglas Mcdonald,github.io
Mildred Tucker,clickbank.net
Helen Hayes,businessweek.com
Lisa Ramirez,last.fm
Alan Fowler,google.com.hk
Doris Powell,washingtonpost.com
Patricia Gutierrez,tmall.com
Irene Long,shareasale.com
Jeffrey Ross,tinyurl.com
Gary Morrison,ebay.com
Patrick Snyder,bbb.org
Nancy Washington,edublogs.org
Donald Miller,squarespace.com
Mildred Hansen,tumblr.com
Adam Berry,phoca.cz
Donna Rose,networkadvertising.org
Pamela Lopez,printfriendly.com
Carl Long,mozilla.com
Lisa Hanson,taobao.com
Denise Bryant,cyberchimps.com
Nancy Phillips,buzzfeed.com
Phillip Ford,marriott.com
Harry Howard,reverbnation.com
Laura Fowler,hexun.com
Sara Robinson,cnbc.com
Julie Williamson,seesaa.net
